Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm,,,
217 Thompson Street,,Debutea,217 Thompson Realty,Manhattan,1020,,,Greenwich Village,10/25/2017,,"Faith Hope Consolo, Arthur Maglio",Retail Leasing,10/30/2017,,Douglas Elliman Real Estate,,,
74 Fifth Avenue,,Deli 48,74 Fifth Avenue Lease LLC,Manhattan,9100,,,Greenwich Village,10/24/2017,"Ethan Park, Elad Dror",David Richer,Retail Leasing,10/30/2017,PD Properties,Oxford Property Group,,,
645 East Tremont Avenue,,Popular Community Bank,645 East Tremont LLC,Bronx,2062,,,East Tremont,10/24/2017,Josh Augenbaum,Josh Augenbaum,Retail Leasing,10/30/2017,Augenbaum Realty,Augenbaum Realty,,,
230 Vesey Street,,Louis Vuitton,Brookfield Property Partners,Manhattan,1800,,,Battery Park City,10/24/2017,,Michael Goldban,Retail Leasing,11/06/2017,Louis Vuitton,Brookfield Property Partners,,,
730 Columbus Avenue,,Popular Community Bank,Equity Residential,Manhattan,1740,,,Upper West Side,10/24/2017,Josh Augenbaum,"Brad Cohen, Jon Kamali, Ben Sandel",Retail Leasing,10/30/2017,Augenbaum Realty,Eastern Consolidated,,,
1140 Third Avenue,,Swerve Fitness,Crescent Heights,Manhattan,3500,,,Lenox Hill,10/23/2017,Jonathan Burke,"Joshua Strauss, David Abrams, Jordyn Comras",Retail Leasing,10/30/2017,J. W. Burke Company,RKF,,,
45 Beekman Street,,Sola Pasta Bar,45 Beekman Holding,Manhattan,2200,,,Fulton/Seaport,10/23/2017,Francesco Bardazzi,Joshua Singer,Retail Leasing,10/30/2017,PD Properties,Heller Organization,,,
1140 Third Avenue,,Oath Pizza,Crescent Heights,Manhattan,1330,,,Lenox Hill,10/23/2017,"John Auber, Taryn Brandes, Jacqueline Klinger","Joshua Strauss, David Abrams, Jordyn Comras",Retail Leasing,10/30/2017,"Auber Group, SCG Retail",RKF,,,
190A Duane Street,,Frank C.,190-A Duane St LLC,Manhattan,1300,,,Tribeca,10/23/2017,Brett Zelner,Francesco Bardazzi,Retail Leasing,10/30/2017,Lee & Associates NYC,PD Properties,,,
172 5th Street,,Take Time,Fifth Avenue Committee,Brooklyn,800,,,Gowanus,10/23/2017,Francesco Bardazzi,Schjanna Rydenour,Retail Leasing,10/30/2017,PD Properties,Ideal Properties Group,,,
111 John Street,,Fluem Corporation,Braun Management,Manhattan,800,,,Fulton/Seaport,10/23/2017,Francesco Bardazzi,,Retail Leasing,10/30/2017,PD Properties,Braun Management,,,
200 Vesey Street,,David Chang,Brookfield Property Partners,Manhattan,672,,,Battery Park City,10/20/2017,Spencer Levy,"Michael Goldban, Mark Kostic",Retail Leasing,10/23/2017,RKF,Brookfield Property Partners,,,
220 36th Street,,Japan Village,Jamestown Property,Brooklyn,20000,,,Sunset Park,10/19/2017,,,Retail Leasing,10/23/2017,,,,,
147 East 86th Street,,Old Navy,"Ceruzzi Properties, Kuafu Properties",Manhattan,18500,,,Upper East Side,10/19/2017,"Ariel Schuster, Justin Fantasoa",Andrew Mandell,Retail Leasing,10/23/2017,RKF,Ripco Real Estate,,,
41 Flatbush Avenue,,Blick Art Materials,"Quinlan Development Group, Building and Land Technology",Brooklyn,7700,,,Downtown Brooklyn,10/19/2017,Joshua Siegelman,"Ryan Condren, George Danut",Retail Leasing,10/23/2017,Winick Realty Group,CPEX Real Estate,,,
555 West 42nd Street,,Upright Citizens Brigade Theatre,Pearl Theatre Company,Manhattan,7000,,,Hell's Kitchen,10/19/2017,,,Retail Leasing,10/23/2017,,,,,
41 Flatbush Avenue,,Smoothie King,"Quinlan Development Group, Building and Land Technology",Brooklyn,1200,,,Downtown Brooklyn,10/19/2017,Nick Masson,"Ryan Condren, George Danut",Retail Leasing,10/23/2017,Schuckman Realty,CPEX Real Estate,,,
41 Flatbush Avenue,,Coffee Project New York,"Quinlan Development Group, Building and Land Technology",Brooklyn,1000,,,Downtown Brooklyn,10/19/2017,Alexander Karas,"Ryan Condren, George Danut",Retail Leasing,10/23/2017,Winick Realty Group,CPEX Real Estate,,,
41 Flatbush Avenue,,UPS Store,"Quinlan Development Group, Building and Land Technology",Brooklyn,800,,,Downtown Brooklyn,10/19/2017,Nicole Liebman,"Ryan Condren, George Danut",Retail Leasing,10/23/2017,Hudson,CPEX Real Estate,,,
1022 Rockaway Avenue,,Bolla Oil,Renaissance Realty Group,Brooklyn,20000,,,Canarsie,10/16/2017,Adir Cohen,Adir Cohen,Retail Leasing,10/23/2017,Renaissance Realty Group,Renaissance Realty Group,,,
113 Hamilton Avenue,,Izzy's BBQ,Renaissance Realty Group,Brooklyn,5000,,,Columbia St. Waterfront District,10/16/2017,"Brett Gold, Nigel Shamash",Adir Cohen,Retail Leasing,10/23/2017,5CRE,Renaissance Realty Group,,,
135-15 39th Avenue,,CJ CGV,"SCG America, F&T Group",Queens,34000,,,Flushing,10/13/2017,Geoffrey Bailey,Geoffrey Bailey,Retail Leasing,10/16/2017,SCG Retail,SCG Retail,,,
2030 Creston Avenue,,Dollar Tree,Schur Management,Bronx,11540,,,Tremont,10/13/2017,Miles Mahony,Kathy Zamechansky,Retail Leasing,10/16/2017,Ripco Real Estate,KZA Realty Group,,,
600 East 138th Street,,Dollar Tree,"774 Broadway, Inc.",Bronx,10000,,,Mott Haven,10/13/2017,"Miles Mahony, Chris Walther","Miles Mahony, Chris Walther",Retail Leasing,10/16/2017,Ripco Real Estate,Ripco Real Estate,,,
255 East 138th Street,,Dollar Tree,Urban Builders Collaborative,Bronx,10000,,,Mott Haven,10/13/2017,"Miles Mahony, Richard Senior, Esther Bukai",Mark Tergesen,Retail Leasing,10/16/2017,Ripco Real Estate,ABS Partners Real Estate,,,
47 Murray Street,,Club Pilates,47 Murray Street Condominium,Manhattan,4800,,,Tribeca,10/13/2017,"Daniel Mirea, Florian Suserman","James Famularo, Ravi Idnani",Retail Leasing,10/16/2017,Ripco Real Estate,Eastern Consolidated,,,
127 Grand Street,,Le Botaniste,Anthony Oldfield,Manhattan,4000,,,Soho,10/13/2017,Brad Schwarz,"Nathan Stange, Thomas Mahl",Retail Leasing,10/16/2017,Lee & Associates NYC,Susan Penzner Real Estate,,,
1770 First Avenue,,Prime Gourmet Market,Rivereast Apartments Investors,Manhattan,3050,,,Upper East,10/13/2017,James Brennan,Jason Pennington,Retail Leasing,10/16/2017,Bond New York,Ripco Real Estate,,,
76 North 4th Street,,Respect Your Universe,Jsignal,Brooklyn,2800,,,Williamsburg,10/13/2017,"Garry Steinberg, Zachary Steinberg","Garry Steinberg, Jaime Schultz",Retail Leasing,10/16/2017,Lee & Associates NYC,Lee & Associates NYC,,,
550 Vanderbilt Avenue,,Eladia's,Forest City - Greenland,Brooklyn,2400,,,Prospect Heights,10/13/2017,Andre Stanely,Lauren Musacchio,Retail Leasing,10/16/2017,Norman Bobrow,McDevitt,,,
2188 White Plains Road,,Starbucks,MYJO Development,Bronx,2375,,,Bronxdale,10/13/2017,Miles Mahony,Michael Friedman,Retail Leasing,10/16/2017,Ripco Real Estate,Inline Realty,,,
925 Hunts Point Avenue,,Boston Market,Prusik-BDG,Bronx,2142,,,Longwood,10/13/2017,"Dan Richman, Corey Bryerman",Miles Mahony,Retail Leasing,10/16/2017,SRS Real Estate Partners,Ripco Real Estate,,,
2100 Bartow Avenue,,Starbucks,Prestige Properties,Bronx,2000,,,Co-op City,10/13/2017,Miles Mahony,"Etan Shalem, Jerry Welkis",Retail Leasing,10/16/2017,Ripco Real Estate,Welco Realty,,,
959 First Avenue,,QQ Nails and Spa,SAREX 959 Retail,Manhattan,1932,,,Midtown East,10/13/2017,"Jason Pennington, Zach Nathan","Jason Pennington, Zach Nathan",Retail Leasing,10/16/2017,Ripco Real Estate,Ripco Real Estate,,,
925 Hunts Point Avenue,,Fresh City Gourmet,Prusik-BDG,Bronx,1356,,,Longwood,10/13/2017,"Miles Mahony, Chris Walther","Miles Mahony, Chris Walther",Retail Leasing,10/16/2017,Ripco Real Estate,Ripco Real Estate,,,
925 Hunts Point Avenue,,Bank of America,Prusik-BDG,Bronx,214,,,Longwood,10/13/2017,Allen Price,Miles Mahony,Retail Leasing,10/16/2017,CBRE,Ripco Real Estate,,,
326 Seventh Avenue,,Live Nation Merch,KS Enterprise,Manhattan,3200,,,Chelsea,10/12/2017,"Renee Tabache, Lee Block",,Retail Leasing,10/16/2017,Winick Realty Group,,,,
38 Park Row,,NY Loves Us,Thor 38 Park Row,Manhattan,3100,,,Fulton/Seaport,10/12/2017,Richard Smith,,Retail Leasing,10/16/2017,Winick Realty Group,Thor 38 Park Row,,,
81 Fleet Place,,Fleet Organic Market,Red Apple Group,Brooklyn,2391,,,Downtown Brooklyn,10/12/2017,"Thomas Caliendo, Daniel D. DePasquale, Danielle Winick","Thomas Caliendo, Daniel D. DePasquale, Danielle Winick",Retail Leasing,10/16/2017,Winick Realty Group,Winick Realty Group,,,
504 Myrtle Avenue,,GAVCAM Enterprises,OF 504 LLC,Brooklyn,1200,,,Clinton Hill,10/12/2017,Nick Masson,"Thomas Caliendo, Daniel D. DePasquale",Retail Leasing,10/16/2017,Schuckman,Winick Realty Group,,,
1619 Second Avenue,,Green Kitchen,251 E84 LLC,Manhattan,2000,,,Yorkville,10/11/2017,"Francesco Bardazzi, Elizabeth Kum","Tony Park, Elad Dror",Retail Leasing,10/16/2017,PD Properties,PD Properties,,,
45 John Street,,Rezdora,45 John Street LLC,Manhattan,1800,,,Financial District,10/11/2017,"Francesco Bardazzi, Elizabeth Kum",Julia Maksimova,Retail Leasing,10/16/2017,PD Properties,KW Commercial,,,
137 Rivington Street,,Tongkatsui,137 Rivington LLC,Manhattan,500,,,Lower East Side,10/11/2017,,John Akleh,Retail Leasing,10/16/2017,,Sido New York Real Estate,,,
38 Park Row,,Starbucks,Thor Equities,Manhattan,2139,,,Fulton/Seaport,10/10/2017,David Firestein,Sam Polese,Retail Leasing,10/16/2017,SCG Retail,Thor Equities,,,
21 West End Avenue,,Starbucks,Dermot Company,Manhattan,1984,,,Upper West Side,10/10/2017,David Firestein,Jay Gilbert,Retail Leasing,10/16/2017,SCG Retail,SRS Real Estate,,,
1385 Broadway,,Glaze,B. Bros. Broadway Realty,Manhattan,1787,,,Midtown South,10/10/2017,"Taryn Brandes, Jacqueline Klinger",Brian Neugeboren,Retail Leasing,10/16/2017,SCG Retail,Savitt Partners,,,
115 Broadway,,Starbucks,Capital Properties,Manhattan,1465,,,Financial District,10/10/2017,David Firestein,Hani Salama,Retail Leasing,10/16/2017,SCG Retail,Capital Properties,,,
15 Greene Street,,Anita Rogers Gallery,Greenestreet Associates Inc.,Manhattan,3100,,,Soho,10/06/2017,Alexander Smith,"Brad Cohen, Jon Kamali",Retail Leasing,10/09/2017,Regal Acquisitions,Eastern Consolidated,,,
585 Franklin Avenue,,Bad Seed Cider Company,"585 F, LLC",Brooklyn,1100,,,Crown Heights,10/05/2017,Peter Schubert,"Jeremy Nowak, Shlomi Bagdadi",Retail Leasing,10/09/2017,TerraCRG,Tri State Commercial Realty,,,
167 Avenue A,,Mama Fina,Kushner Companies,Manhattan,3800,,,East Village,10/04/2017,,"James Famularo, Max Swerdloff",Retail Leasing,10/09/2017,,Eastern Consolidated,,,
37 Barrow Street,,Philippe Conticini,Goldberg Group,Manhattan,3000,,,West Village,10/04/2017,Ravi Idnani,"James Famularo, Jeff Geoghegan",Retail Leasing,10/09/2017,Eastern Consolidated,Eastern Consolidated,,,
120 Macdougal Street,,Mike & Dave's Yogurt Shop,Kushner Companies,Manhattan,1000,,,Greenwich Village,10/04/2017,"Michael Thomas, Tim Pond",,Retail Leasing,10/09/2017,Colliers International,,,,
385 Bleecker Street,,The Daily Edited,Amber E. Valletta Trust,Manhattan,876,,,West Village,10/04/2017,,"Faith Hope Consolo, Arthur Maglio",Retail Leasing,10/09/2017,Isaacs and Company,Douglas Elliman Real Estate,,,
1973 38th Street,,NAPA Auto Parts,19-80 Steinway LLC,Queens,14100,,,Astoria,10/03/2017,Donny Moskovic,"Joseph Italiaander, Mark Tergesen",Retail Leasing,10/09/2017,Katz & Associates,ABS Partners Real Estate,,,
345 Fifth Avenue,,Frame,Regency Enterprises Partners LLC,Manhattan,12000,,,Midtown,10/03/2017,,"Faith Hope Consolo, Corey Shuster",Retail Leasing,10/09/2017,Siderow Commercial Group,Douglas Elliman Real Estate,,,
781 Fifth Avenue,,Delvaux,Atlas Corporation,Manhattan,2200,,,Upper East Side,10/03/2017,Diane Mandel,"Robert Cohen, Pierce Thompson, Jackie Totolo",Retail Leasing,10/09/2017,Lansco Corporation,RKF,,,
184 4th Avenue,,Caring People,184-188 4th Avenue LLC,Brooklyn,3350,,,Gowanus,10/02/2017,Redwood Property Group,"Brad Cohen, Jacob Tzfanya, Jon Kamali",Retail Leasing,10/09/2017,Eli Someck,Eastern Consolidated,,,
429 Greenwich Street,,John Allan's Premier Men's Grooming Club,E&G Realty LLC,Manhattan,3000,,,Tribeca,10/02/2017,Noelle Bailly,Hillel Horovitz,Retail Leasing,10/09/2017,Town Real Estate,Douglas Elliman Real Estate,,,
927 Broadway,,Bulletin,Bender Family Realty,Manhattan,1450,,,Flatiron,10/01/2017,Evan Clements & Fritz Kemerling,,Retail Leasing,05/15/2018,The Dartmouth Company,,,,
2375 Flatbush Avenue,,Weisman Enterprises,Maris Management,Brooklyn,7750,,,Flatlands,09/28/2017,,,Retail Leasing,10/02/2017,M.C. O'Brien,M.C. O'Brien,,,
76 Front Street,,Scotch & Soda,Two Trees Management,Brooklyn,2500,,,DUMBO,09/26/2017,"Benjamin Zack, Beth Rosen",Bonnie Campbell,Retail Leasing,10/02/2017,RKF,Two Trees Management,,,
11 Times Square,,Palace Entertainment,SJP Properties,Manhattan,45000,,,Midtown,09/20/2017,"Robert K. Futterman, Joshua Strauss, Scott Zinovoy","Robert K. Futterman, Joshua Strauss, Scott Zinovoy",Retail Leasing,09/25/2017,RKF,RKF,,,
325 Kent Avenue,,Missy Robbins,Two Trees Management,Brooklyn,4000,,,Williamsburg,09/19/2017,,,Retail Leasing,09/25/2017,,,,,
29 Second Avenue,,Neapolitan Express,Highpoint Property Group,Manhattan,2090,,,East Village,09/18/2017,"Brandon Singer, Michael Cody",,Retail Leasing,09/25/2017,Cushman & Wakefield,,,,
200 West 41st Street,,Poke Signature,American Realty Capital New York City REIT,Manhattan,1203,,,Midtown,09/18/2017,,,Retail Leasing,09/25/2017,Kassin Sabbagh Realty,RKF Realty,,,
211 Dyckman Street,,Albert's Mofongo House,Solil Management,Manhattan,3705,,,Inwood,09/15/2017,"Christopher Ventura, Steve Lorenzo",Brett Weinblatt,Retail Leasing,09/15/2017,Lee & Associates NYC,Solil Management,,,
156 Broadway,,Matador Cigars by Davidoff,Brookland Capital,Brooklyn,1922,,,South Williamsburg,09/15/2017,Michael Vitale,"Garry Steinberg, Jamie Schultz, Jeffrey Lopez",Retail Leasing,09/15/2017,Royal Associates Realty,Lee & Associates NYC,,,
172 Ludlow Street,,Van Leeuween Artisan Ice Cream,170-172 Realty Corporation,Manhattan,1750,,,Lower East Side,09/15/2017,"Garry Steinberg, Jamie Schultz, Zachary Steinberg","Michael Kabosh, Jesse Wolff, Lon Rucbackin",Retail Leasing,09/15/2017,Lee & Associates NYC,CBRE,,,
106 MacDougal Street,,New York Koshary,Jerome Nash,Manhattan,400,,,Greenwich Village,09/15/2017,"Stanley Lindenfeld, Richard Rosenthal, Leonard Zimmerman, John Cannon, Howard Rosen, Barclay Smyly","Stanley Lindenfeld, Richard Rosenthal, Leonard Zimmerman, John Cannon, Howard Rosen, Barclay Smyly",Retail Leasing,09/15/2017,Lee & Associates NYC,Lee & Associates NYC,,,
1156 Madison Avenue,,Peloton,Brodsky Organization,Manhattan,3165,,,Upper East Side,09/14/2017,"Jeremy Ezra, Taryn Talmadge","Stuart Ellman, Nicholas Judson",Retail Leasing,09/15/2017,RKF,Judson Realty,,,
8949 Bay Parkway,,Kay Jewelers,Saltru Associates Joint Ventures,Brooklyn,2000,,,Bensonhurst,09/14/2017,Tyler Bennet,"Peter Ripka, Andrew Clemens, Ben Weiner",Retail Leasing,09/15/2017,Winick Realty Group,Ripco Real Estate,,,
450 Hudson Street,,Charles Fusco,Z H Control Company,Manhattan,500,,,West Village,09/14/2017,,"Dean Valentino, Mark Tergesen",Retail Leasing,09/15/2017,,ABS Partners Real Estate,,,
127 East 59th Street,,Muji,Benenson Capital Partners,Manhattan,13000,,,Lenox Hill,09/13/2017,"Michael O'Neill, Jason Greenstone","Jeffrey Roseman, Drew Weiss",Retail Leasing,09/15/2017,Cushman & Wakefield,Newmark Knight Frank,,,
89 Greenwich Avenue,,Confidant,1 BK Streeet Corporation,Manhattan,2450,,,West Village,09/13/2017,,"Faith Hope Consolo, Arthur Maglio",Retail Leasing,09/15/2017,Sinvin Real Estate,Douglas Elliman Real Estate,,,
116 University Place,,Ferrero International S.A.,"Ranger Properties, KD Sagamore Capital",Manhattan,2200,,,Greenwich Village,09/13/2017,"Jacqueline Klinger, Ian Rice","Scott Kummings, Ben Daniels",Retail Leasing,09/15/2017,SCG Retail,KD Sagamore Capital,,,
10 Columbus Circle,,Bluebird,Related Companies,Manhattan,10000,,,Lincoln Square,09/12/2017,,Kevin Stuessi,Retail Leasing,09/15/2017,,Related Companies,,,
519-529 3rd Avenue,,Gowanus CrossFit,"304, LLC",Brooklyn,4660,,,Gowanus,09/12/2017,Chris Havens,Shannon Eidman,Retail Leasing,09/15/2017,TerraCRG,Compass,,,
10 Columbus Circle,,Momofuku Noodle Bar,Related Companies,Manhattan,4000,,,Lincoln Square,09/12/2017,,Kevin Stuessi,Retail Leasing,09/15/2017,,Related Companies,,,
210 East 46th Street,,Sparks Steak House,Durst Organization,Manhattan,22924,,,Midtown East,09/11/2017,,"Tom Bow, Ashley Gee",Retail Leasing,09/15/2017,,Durst Organization,,,
248 West 35th Street,,Muses 35 Bar,248 West 35th Street LLC,Manhattan,8000,,,Midtown South,09/11/2017,Richard Smith,Albert Manopia,Retail Leasing,09/15/2017,Winick Realty Group,Kassin Sabbagh Realty,,,
60 Lispenard Street,,Regen Projects,Lepow Associates,Manhattan,5800,,,Tribeca,09/11/2017,Alejandro Cruz-Mayor Suarez,Jonathan Travis,Retail Leasing,09/15/2017,Corbett & Dullea,Redwood Property Group,,,
98 South 4th Street,,Vanguard Collection,RLBK Property,Brooklyn,2200,,,Williamsburg,09/11/2017,Brennan Taylor,"Aaron S. Fishbein, Jeremy Wintner",Retail Leasing,09/15/2017,Conrad Real Estate,Winick Realty Group,,,
295 Madison Avenue,,Kuni's Corporation,295 Madison Properties LLC,Manhattan,2000,,,Murray Hill,09/11/2017,Kenji Asazuma,"Richard Smith, Alec Stone",Retail Leasing,09/15/2017,Starts New York Realty,Winick Realty Group,,,
116 John Street,,Sons of Thunder,116 John Street LLC,Manhattan,1800,,,Financial District,09/11/2017,Matt Krell,"Lee Block, Darrell Rubens",Retail Leasing,09/15/2017,Newmark Knight Frank,Winick Realty Group,,,
560 Lexington Avenue,,Starbucks,Rudin Management,Manhattan,1440,,,Midtown,09/11/2017,David Firestein,Tom Keating,Retail Leasing,09/15/2017,SCG Retail,Rudin Management,,,
549 Hudson Street,,Joe & the Juice,Perry 112-11 LLC,Manhattan,1260,,,West Village,09/11/2017,"Anthony Stanford, Amira Unis",Matthew Schuss,Retail Leasing,09/15/2017,CBRE,Winick Realty Group,,,
1322 Second Avenue,,Le Reveil,1322 Realty Equity,Manhattan,650,,,Lenox Hill,09/11/2017,Zach Diamond,,Retail Leasing,09/15/2017,Winick Realty Group,,,,
42-15 Crescent Street,,Barbershop,WWG Crescent LLC,Queens,205,,,Long Island City,09/11/2017,"Aaron S. Fishbein, Jeremy Wintner, Steven E. Baker","Aaron S. Fishbein, Jeremy Wintner, Steven E. Baker",Retail Leasing,09/15/2017,Winick Realty Group,Winick Realty Group,,,
345 Fifth Avenue,,Frame,Regency Enterprises Partners LLC,Manhattan,12000,,,Midtown South,09/07/2017,,"Faith Hope Consolo, Corey Shuster",Retail Leasing,09/07/2017,Siderow Commercial Group,Douglas Elliman Real Estate,,,
62 Grand Street,,Bang Bang Tattoo,Slavik Gofman,Manhattan,4440,,,Soho,09/07/2017,Greg Goldberg,James Famularo,Retail Leasing,09/07/2017,Eastern Consolidated,Easter Consolidated,,,
655 Third Avenue,,The Gap,Durst Organization,Manhattan,15942,,,Murray Hill,09/06/2017,The apparel store renewed its lease in the 30-story building.,,Retail Leasing,09/06/2017,,,,,
64 West 48th Street,,TsuruTonTan,Muss Development,Manhattan,10000,,,Midtown,09/05/2017,Howard Gilbert,"Mark Utreras, Nevin Danzinger, Jeffrey Roseman",Retail Leasing,09/05/2017,ABS Partners Real Estate,Newmark Knight Frank,,,
614 Tenth Avenue,,Le Prive,626 Emmut Properties LTD,Manhattan,3000,,,Hell's Kitchen,09/05/2017,James FamularoThe restaurant signed a lease for $160 per square foot.,Jeff Geoghegan,Retail Leasing,09/05/2017,Eastern Consolidated,Eastern Consolidated,,,
142 Edgecome Avenue,,Renaissance Realty Group,Hexagon Lounge,Manhattan,700,,,Harlem,09/01/2017,Adir Cohen,"Marc Sitt, Sholom Kanevsky",Retail Leasing,,,Kassin Sabbagh Realty,,,
221 East 10th Street,,Renaissance Realty Group,CA It Services,Manhattan,400,,,East Village,09/01/2017,Adir Cohen,"Marc Sitt, Dorel Melloul",Retail Leasing,,,Kassin Sabbagh Realty,,,
7602 Flatlands Avenue,,Renaissance Realty Group,McDonald's,Brooklyn,,,,,09/01/2017,Adir Cohen,,Retail Leasing,,,,,,
804 Madison Avenue,,John Paul Ataker,Rose Associates,Manhattan,2230,,,Lenox Hill,08/31/2017,Jordan Barker,Bruce Spiegel,Retail Leasing,08/31/2017,Bark Equities,Rose Associates,,,
2948 3rd Avenue,,Burlington,Alex Adjmi,Bronx,55000,,,Woodstock,08/24/2017,Cliff Simon,,Retail Leasing,08/24/2017,CNS Real Estate,,,,
2948 3rd Avenue,,Marshall's,Bobby Cayre, Alex Adjmi,Bronx,25000,,,Woodstock,08/24/2017,Esther Bukai,,Retail Leasing,08/24/2017,Ripco Real Estate,,,
1800 Park Place,,C-Town,Rosenberg Housing Group, Duvernay + Brooks, Blue Sea Development, Pennrose Properties,Brooklyn,17721,,,Crown Heights,08/18/2017,"Joshua Gettler, Matthew Gorman","Joshua Gettler, Matthew Gorman",Retail Leasing,08/21/2017,New Street Realty Advisors,New Street Realty Advisors
3009 Church Avenue,,Primary Glasses Optical,3001 Church Avenue LLC,Brooklyn,800,,,Flatbush,08/15/2017,,,Retail Leasing,08/29/2017,,"M.C. O'Brien, Inc.",,,
432 Park Avenue South,,Inchin's Bamboo Garden,Samco Properties,Manhattan,2786,,,NoMad,08/14/2017,"Thomas Citron, Ethan Berenzweig",,Retail Leasing,08/14/2017,Newmark Knight Frank,Samco Properties,,,
10 East 33rd Street,,PTO5,Dalan Management & Associates, Adw 33rd Street,Manhattan,2378,,,Midtown South,08/14/2017,Ryan Chong,"Richard Skulnik, Jeremy Modest, Lindsay Zegans",Retail Leasing,08/14/2017,R&E Realty,Ripco Real Estate,,
154 Seventh Avenue,,Ikinari Steak,Renatus Group, 152 Seventh Avenue Realty,Manhattan,2200,,,Chelsea,08/14/2017,Kenji Asazuma,Jeremy Modest,Retail Leasing,08/14/2017,Starts New York Realty,Ripco Real Estate,,
109 Wilson Avenue,,L & R,Lincinco Commercial,Brooklyn,933,,,Bushwick,08/14/2017,Victoria Felix,"Andrew Clemens, Mike Drummey",Retail Leasing,08/14/2017,Keller Williams NYC,Ripco Real Estate,,,
128 Thompson Street,,A6 Nails,SoHo Village Realty,Manhattan,450,,,SoHo,08/14/2017,Vivian Gao,"Joe Robinson, Kendall Novak",Retail Leasing,08/14/2017,Keller Williams NYC,Eastern Consolidated,,,
